id,questions,answers
287,你觉得理想的家庭氛围应该是什么样的？,轻松、自由、互相尊重。
288,你觉得“爱”是靠感觉，还是靠经营？,先靠感觉，后靠经营。
289,你是个愿意为了爱情跨国生活的人吗？,看情况，愿意尝试。
290,你觉得“浪漫”和“现实”能共存吗？,可以，但需要用心去平衡。
291,你觉得自己是个恋爱忠诚度极高的人吗？,是，专一且长情。
292,你是个会主动道歉的人吗？,只要不是无理取闹，愿意道歉。
293,你觉得“喜欢”和“习惯”之间的界限模糊吗？,是的，习惯久了容易误以为是爱。
294,你觉得一段感情里最致命的问题是什么？,失去信任和沟通。
295,你觉得“异地”是感情的考验，还是感情的坟墓？,看两个人的信念，考验但也可能磨灭。
296,你觉得自己是个擅长放下过去的人吗？,不是，需要时间慢慢消化。
297,你觉得自己未来会是什么样的人？,比现在更成熟、更自由。
298,你希望未来的自己过上什么样的生活？,轻松、自洽、有爱的人在身边。
299,你觉得“爱一个人”最好的方式是什么？,让对方感受到安心和被珍惜。
300,你相信“陪伴是最长情的告白”吗？,相信，长久的陪伴比短暂的轰轰烈烈更难得。
